SOURCE_RID,RID,ENTITY_TYPE,ENTITY_ID,ENTITY_NAME,PRIMARY_COORD_SYSTEM,LONGITUDE,LATITUDE,UTM_ZONE,UTM_EASTING,UTM_NORTHING,GEO_STATE_NAME,GEO_STATE_FIPS,GEO_COUNTY_NAME,GEO_COUNTY_FIPS,GEO_CITY_NAME,GEO_ZIP_CODE,GEO_ADDRESS_1
101783736,101783929,SOURCE,27067SW079,NA,NA,-95.01205,45.27861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783738,101783930,SOURCE,27069SW115,NA,NA,-96.56038,48.57739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783742,101783932,SOURCE,27071SW191,NA,NA,-93.43197,48.56409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783744,101783933,SOURCE,27071SW225,NA,NA,-94.27013,47.85522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783746,101783934,SOURCE,27075SW140,NA,NA,-91.53519,47.13089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783748,101783935,SOURCE,27077SW171,NA,NA,-94.83649,48.66173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783750,101783936,SOURCE,27077SW236,NA,NA,-95.08435,49.33971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783752,101783937,SOURCE,27079SW063,NA,NA,-93.95666,44.27048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783754,101783938,SOURCE,27079SW091,NA,NA,-93.65385,44.40928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783758,101783940,SOURCE,27083SW023,NA,NA,-95.9023,44.34734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783760,101783941,SOURCE,27087SW122,NA,NA,-95.80367,47.29941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783762,101783942,SOURCE,27091SW076,NA,NA,-94.49009,43.75878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783764,101783943,SOURCE,27093SW070,NA,NA,-94.49561,45.16907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783766,101783944,SOURCE,27095SW082,NA,NA,-93.71644,45.66475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783768,101783945,SOURCE,27097SW015,NA,NA,-94.29618,45.94245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783770,101783946,SOURCE,27099SW062,NA,NA,-92.89691,43.67867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783772,101783947,SOURCE,27101SW104,NA,NA,-95.84731,43.95143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783774,101783948,SOURCE,27105SW011,NA,NA,-95.75842,43.67271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783778,101783950,SOURCE,27109SW355,NA,NA,-92.58882,44.04677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783780,101783951,SOURCE,27111SW086,NA,NA,-95.74205,46.27907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783782,101783952,SOURCE,27111SW184,NA,NA,-96.08713,46.26388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783784,101783953,SOURCE,27111SW178,NA,NA,-95.44273,46.54426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783786,101783954,SOURCE,27115SW019,NA,NA,-92.94484,45.88786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783788,101783955,SOURCE,27117SW120,NA,NA,-96.16748,44.03384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783790,101783956,SOURCE,27119SW124,NA,NA,-96.38458,47.77831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783792,101783957,SOURCE,27127SW083,NA,NA,-95.21509,44.51849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783794,101783958,SOURCE,27129SW090,NA,NA,-95.01852,44.6705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783796,101783959,SOURCE,27131SW123,NA,NA,-93.22744,44.37428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783798,101783960,SOURCE,27133SW077,NA,NA,-96.16737,43.663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783800,101783961,SOURCE,27135SW137,NA,NA,-95.53367,48.85192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101783804,101783963,SOURCE,27143SW002,NA,NA,-94.1861,44.54489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
