entity_id,source_name,long.x,lat.x,long.y,lat.y,long_diff,lat_diff,check_coords,lat_correct,long_correct,notes
27145POTW06,Sauk Centre WWTP,-94.94164499,45.72346386,-94.9416629,45.7234164,1.79E-05,4.75E-05,don't check,,,
27147POTW05,Hope - Somerset Township WWTP,-93.2684962,43.96980191,-93.2683427,43.969831,-1.53E-04,-2.91E-05,don't check,,,
27157POTW02,Wabasha WWTP,-92.01153092,44.3537642,-92.0115231,44.3537195,-7.82E-06,4.47E-05,don't check,,,
27169POTW04,Whitewater River Regional WWTP,-92.0570229,43.98311738,-92.0570074,43.9831391,-1.55E-05,-2.17E-05,don't check,,,
27171POTW01,Saint Michael WWTP,-93.65894282,45.19777019,-93.6590388,45.1983403,9.60E-05,-5.70E-04,don't check,,,
27045POTW06,Harmony WWTP,-92.0079331,43.54392437,-92.0078533,43.5440519,-7.98E-05,-1.28E-04,don't check,,,
27045POTW01,Lanesboro WWTP,-91.97066764,43.7220168,-91.9706676,43.7220168,-4.00E-08,0,don't check,,,
27049POTW05,Pine Island WWTP,-92.63868063,44.20334222,-92.6386731,44.2033342,-7.53E-06,8.02E-06,don't check,,,
27049POTW06,Red Wing WWTP,-92.52793498,44.57117916,-92.5279175,44.5711701,-1.75E-05,9.06E-06,don't check,,,
27063POTW01,Lakefield WWTP,-95.17447123,43.68470393,-95.1746116,43.6847326,1.40E-04,-2.87E-05,don't check,,,
27059POTW03,Isanti WWTP,-93.25091187,45.50019444,NA,NA,NA,NA,done,"45.501745646259295,",-93.24772167,
27067POTW08,Glacial Lakes SSWD,-94.86594751,45.25693738,NA,NA,NA,NA,done,"45.25693903170198,",-94.84509086,
27049POTW04,Cannon Falls WWTP,-92.88864452,44.51601591,-92.87662279,44.51767352,-0.01202173,-0.00165761,done,44.51601591,-92.88864452,
27099POTW02,Austin WWTP,-92.97264466,43.65491411,-92.9726446,43.6549141,-6.00E-08,1.00E-08,don't check,,,
27073POTW02,Madison WWTP,-96.16785139,45.00312837,-96.1946506,45.0097404,0.02679921,-0.00661203,done,"45.00224080806122,",-96.16605969,
27127POTW05,Delhi WWTP,-95.20834725,44.59681285,-95.208339,44.596805,-8.25E-06,7.85E-06,don't check,,,
27135POTW01,Springsteel Island Sanitary District,-95.31229798,48.94693686,-95.3121434,48.9469654,-1.55E-04,-2.85E-05,don't check,,,
27141POTW04,Zimmerman WWTP,-93.58288063,45.42537157,-93.5828727,45.4253634,-7.93E-06,8.17E-06,don't check,,,
27137POTW17,ISD 2142 Pre-Kindergarten to Grade 12 N School,-92.77764496,47.8880496,-92.77669421,47.88722659,-9.51E-04,8.23E-04,don't check,,,
27159POTW01,Wadena WWTP,-95.12528137,46.44169425,-95.125281,46.4416857,-3.70E-07,8.55E-06,don't check,,,
27169POTW03,Winona WWTP,-91.60286644,44.03337973,-91.6028801,44.0333899,1.37E-05,-1.02E-05,don't check,,,
27045POTW04,Mabel WWTP,-91.7615786,43.52440888,-91.7615786,43.5244088,0,8.00E-08,don't check,,,
27049POTW03,Wanamingo WWTP,-92.78618622,44.30708694,-92.78618317,44.30708869,-3.05E-06,-1.75E-06,don't check,,,
27067POTW05,Prinsburg WWTP,-95.20461571,44.94395187,-95.20345538,44.94409226,-0.00116033,-1.40E-04,done,"44.94841169760516,",-95.21026479,
27075POTW03,Two Harbors WWTP,-91.66426175,47.02035928,-91.66467744,47.01715886,4.16E-04,0.00320042,done,47.01715886,-91.66467744,
27055POTW01,Caledonia WWTP,-91.5018095,43.6318351,-91.5017933,43.6318348,-1.62E-05,3.00E-07,don't check,,,
27091POTW06,Fairmont WWTP,-94.45962524,43.67020798,-94.45962894,43.67020811,3.70E-06,-1.30E-07,don't check,,,
27103POTW02,Lafayette WWTP,-94.39146333,44.44010032,NA,NA,NA,NA,done,"44.43925079831596,",-94.39214013,
27075POTW01,Silver Bay WWTP,-91.27000569,47.29514522,-91.2699788,47.2951431,-2.69E-05,2.12E-06,don't check,,,
27131POTW01,Morristown WWTP,-93.43821196,44.22695653,-93.4490719,44.2263294,0.01085994,6.27E-04,done,44.22695653,-93.43821196,
27139POTW06,Belle Plaine WWTP,-93.79600139,44.6246269,-93.7960013,44.6246269,-9.00E-08,0,don't check,,,
27143POTW01,Arlington WWTP,-94.0646221,44.60019322,-94.0651124,44.60146026,4.90E-04,-0.00126704,done,44.60019322,-94.0646221,
27147POTW03,Owatonna WWTP,-93.23099492,44.09518182,-93.2313585,44.0964061,3.64E-04,-0.00122428,done,44.0964061,-93.2313585,
27161POTW02,New Richland WWTP,-93.5023895,43.89396818,-93.4914774,43.8953222,-0.0109121,-0.00135402,done,43.89396818,-93.5023895,
27171POTW07,Albertville WWTP,-93.64548498,45.23979763,-93.64903014,45.24042922,0.00354516,-6.32E-04,done,"45.24149067182472,",-93.64838337,
27067POTW04,Willmar WWTP,-95.14511063,45.09531941,NA,NA,NA,NA,done,"45.097131920421766,",-95.15289502,
27055POTW03,Hokah WWTP,-91.35061256,43.7622301,-91.3506115,43.7622313,-1.06E-06,-1.20E-06,don't check,,,
27091POTW05,Sherburn WWTP,-94.71782081,43.65192028,-94.7145843,43.6517269,-0.00323651,1.93E-04,done,"43.6523207495345,",-94.71507005,
27127POTW02,Morgan WWTP,-94.93610769,44.41999303,-94.9343475,44.418112,-0.00176019,0.00188103,done,"44.42136870034992,",-94.93722283,
